size,time,stdev
64,105596.1,5287.476408142798
128,104705.4,5832.626227619177
512,120720.9,4513.818350354831
1024,237161.2,13550.0550371986
256,105047.3,5419.427154024471
2048,860115.6,28316.789425670733
