thresh,threads,time,stdev
512,16,3918544.632,1405096.624209669
512,32,4297800.061,1550984.9009209438
512,64,4385593.063,1641438.2619900517
512,128,4398076.901,1629528.3360340602
512,256,4409249.889,1625355.6018598557
512,512,4492472.737,1605788.9554856608
512,1024,4486538.316,1608648.6693173144
