thresh,threads,time,stdev
2048,16,4057329.876,1448868.564853472
2048,32,4267011.421,1539821.5591555776
2048,64,4397470.998,1605933.2593735002
2048,128,4466727.95,1647486.606104671
2048,256,4471267.251,1594901.7606880562
2048,512,4521483.38,1617298.492620881
2048,1024,4494213.344,1599952.9372446877
