thresh,threads,time,stdev
64,16,4029989.641,1441792.00358918
64,32,4214984.874,1502167.4614091914
64,64,4245745.371,1494503.6878879217
64,128,4264754.338,1507607.9029713513
64,256,4360021.346,1526252.3800452754
64,512,4398665.158,1512665.6035686615
64,1024,4353847.911,1511390.4175131368
