thresh,threads,time,stdev
32768,16,3982696.815,1448999.5340578018
32768,32,4297210.349,1532511.768415739
32768,64,4410328.217,1612440.186830194
32768,128,4520875.365,1656047.229313378
32768,256,4459410.648,1617089.9900355884
32768,512,4506930.755,1627075.379929079
32768,1024,4565555.206,1628392.3680975197
