thresh,threads,time,stdev
1024,16,3787387.945,1349244.6282665357
1024,32,4227858.898,1520921.7782836831
1024,64,4421600.226,1640586.9962847095
1024,128,4482692.637,1641572.4548904523
1024,256,4445678.909,1611477.0021409446
1024,512,4627540.756,1655768.9163830916
1024,1024,4469560.97,1588327.4174447968
