thresh,threads,time,stdev
256,16,3839851.387,1368180.9598466996
256,32,4225151.119,1520577.986975898
256,64,4319332.143,1590104.3948370481
256,128,4311802.652,1600391.6915473726
256,256,4410965.969,1602730.2368409697
256,512,4431333.773,1593920.830030767
256,1024,4422238.45,1583280.4951509645
