size,time,stdev
64,1933.0,629.8468949761609
128,2889.6,1264.4849807991657
256,5528.9,1395.9943847387863
512,13364.4,3758.47203587368
1024,95149.3,2434.4868977991146
2048,723284.3,5070.8801350894155
