thresh,time,stdev
64,7005301.6669,2284728.385561937
128,6943024.543,2280666.060961819
256,7048171.391,2262134.567159562
512,7111889.755,2271402.078057004
1024,7101257.543,2305025.403000168
2048,6972102.046,2291475.974135693
4096,7194080.355,2295809.336903584
8192,7330188.379,2275934.782849425
16384,7289847.48,2333773.762454691
32768,7594372.074,2335272.6555124647
65536,7578157.398,2315675.1870419006
