thresh,time,stdev
64,4694993.7583,2284728.385561937
128,4857702.269,2280666.060961819
256,4827967.133,2262134.567159562
512,4845237.29,2271402.078057004
1024,4869247.038,2305025.403000168
2048,4867502.302,2291475.974135693
4096,4908977.729,2295809.336903584
8192,4974494.937,2275934.782849425
16384,4999607.988,2333773.762454691
32768,5122937.988,2335272.6555124647
65536,5125175.843,2315675.1870419006
