thresh,time,stdev
2048,203658.553,88918.7176453354
4096,152685.822,68251.67572519823
8192,136055.073,62155.82279040656
16384,131058.264,59447.75038384551
32768,138022.14,59321.15967809424
65536,138370.411,59503.251515080636
