size,time,stdev
64,925.5454545454545,2998.3828429217097
128,54.4,4.4522154285504
256,313.7,2.7100635498903793
512,2311.3,281.9188417494179
1024,17499.4,2881.8219237142325
2048,136207.2,19008.263155211676
