size,time,stdev
128,397496.9,20612.38597677512
512,6608610.4,202074.42111327863
1024,27386452.5,1129900.8917322743
64,103118.3,4084.287182470019
256,1596243.9,76910.7411534089
2048,105777391.9,3931341.539333741
