threads,avg_t,avg_u,stdev_t,stdev_u
32,19.349629999999998,98.52804999999998,0.43692235275084473,0.27157040523591786
64,19.92333,93.38969,0.2573476509402106,0.3989980547153903
128,21.07478,48.70055,0.319489508782718,0.10045846294751791
256,20.95139,24.36448,0.2796322960603797,0.024828916833223594
512,20.11843,11.84949,0.24809145289590334,0.03819826784903561
1024,17.20654,4.835095000000001,0.2911266284244328,0.0326636285151813
